Active cases, Time (s) 
1165,3690908
1165,3691054
1166,3691150
1167,3691317
1168,3691636
1169,3691790
1170,3691955
1170,3691997
1171,3692074
1172,3692115
1171,3694077
1172,3695068
1172,3695223
1173,3695568
1174,3695896
1175,3696205
1175,3696227
1175,3696567
1176,3696568
1177,3696607
1177,3697196
1178,3697666
1179,3697878
1180,3698461
1181,3698462
1180,3698782
1181,3699336
1182,3699576
1183,3699797
1184,3700329
1185,3700382
1186,3700426
1187,3700613
1188,3701026
1189,3701192
1189,3701672
1190,3702376
1191,3702443
1191,3702755
1192,3702850
1193,3703003
1194,3703370
1195,3703415
1195,3703496
1194,3703658
1195,3703988
1196,3704009
1195,3704259
1196,3704308
1197,3705123
1198,3705430
1199,3705555
1200,3705876
1201,3706077
1202,3706780
1203,3706862
1204,3707050
1205,3707521
1206,3707560
1207,3707874
1207,3709134
1206,3709491
1207,3709589
1208,3709765
1209,3709834
1209,3709910
1210,3711310
1211,3711660
1211,3711930
1212,3712073
1213,3712161
1214,3712163
1215,3712322
1215,3713055
1216,3713193
1217,3713498
1217,3713790
1218,3714094
1219,3714131
1220,3714445
1219,3714685
1219,3714740
1219,3715400
1220,3715407
1221,3715625
1222,3716003
1222,3716427
1222,3716609
1222,3716836
1223,3717484
1224,3717519
1224,3717876
1224,3718032
1225,3718263
1225,3718467
1226,3718707
1227,3718836
1228,3719034
1228,3719451
1228,3720136
1228,3720479
1229,3720784
1229,3720882
1229,3722153
1230,3722332
1231,3722375
1232,3722406
1232,3722763
1233,3722956
1234,3723003
1233,3723746
1233,3724009
1233,3724065
1233,3724105
1234,3724612
1235,3724615
1236,3724680
1236,3725094
1237,3725827
1238,3725946
1239,3726351
1239,3727039
1240,3727226
1241,3727322
1242,3727447
1242,3727502
1242,3727757
1243,3727945
1244,3727951
1245,3728307
1245,3728702
1246,3728976
1247,3729365
1248,3729604
1249,3729607
1249,3729945
1249,3730097
1250,3730214
1250,3730257
1250,3730884
1251,3731375
1252,3731490
1253,3731818
1254,3731951
1254,3732281
1255,3732566
1256,3732567
1257,3732879
1257,3732904
1257,3734104
1258,3734224
1259,3734619
1260,3734811
1261,3735034
1262,3735156
1263,3735282
1264,3735442
1265,3735466
1265,3735663
1266,3736067
1265,3736678
1265,3737217
1266,3737266
1266,3737288
1267,3737607
1268,3737820
1269,3737839
1269,3738040
1270,3738201
1271,3738597
1271,3739238
1272,3739422
1273,3739610
1272,3740202
1273,3740212
1273,3740508
1273,3740755
1273,3741139
1274,3741192
1275,3741260
1276,3741291
1277,3741868
1278,3741897
1279,3742140
1280,3742194
1280,3742357
1280,3742589
1279,3743483
1279,3743866
1280,3743982
1276,3744739
1277,3744836
1278,3745246
1279,3745320
1278,3745740
1277,3746115
1278,3746262
1279,3746592
1280,3746854
1279,3747704
1279,3747715
1280,3747768
1280,3748120
1281,3748228
1282,3748320
1283,3748328
1284,3748644
1285,3748653
1286,3748689
1286,3748832
1287,3748976
1288,3749412
1289,3749476
1290,3749498
1290,3749581
1291,3749596
1292,3749722
1292,3750382
1292,3750733
1293,3750743
1294,3750865
1292,3751087
1293,3751233
1292,3751385
1292,3751995
1293,3752142
1294,3752243
1294,3752353
1295,3752784
1296,3752874
1297,3752906
1298,3753142
1296,3753600
1297,3753668
1296,3753757
1296,3754259
1296,3754408
1297,3754613
1297,3754713
1298,3754759
1299,3754968
1299,3754980
1300,3755056
1301,3755243
1302,3755283
1303,3755540
1304,3755598
1305,3755745
1306,3755876
1306,3756066
1307,3756101
1308,3756587
1309,3756592
1309,3756707
1310,3756709
1310,3756955
1309,3757688
1309,3757995
1309,3758332
1308,3758429
1309,3758524
