Active cases, Time (s) 
780,3383823
781,3384140
782,3384227
782,3384407
783,3384885
784,3385687
784,3386553
785,3386817
786,3386936
786,3387386
787,3387806
788,3387980
788,3388192
789,3388259
789,3388840
789,3389129
789,3389437
790,3389843
791,3390005
792,3390250
793,3390301
792,3390606
792,3391120
793,3391303
794,3391857
795,3392180
795,3392595
796,3392978
793,3394043
793,3395537
794,3395804
795,3396328
796,3396355
797,3396447
798,3396657
799,3397229
800,3397870
801,3398744
802,3399119
803,3399162
804,3399526
805,3399656
805,3400269
806,3400331
807,3400370
806,3401057
806,3401382
807,3401461
807,3402463
808,3402662
809,3402833
810,3402849
811,3402850
812,3402962
810,3404339
811,3405855
812,3406212
812,3406639
812,3407498
813,3407596
814,3407737
814,3408335
815,3408909
816,3409294
817,3410977
816,3411581
816,3411670
815,3412977
815,3413169
816,3413467
817,3414731
818,3414769
819,3414775
820,3414897
821,3415300
822,3416321
822,3417672
823,3419813
824,3420220
825,3420319
826,3420991
827,3421029
827,3421180
828,3421221
829,3421910
830,3422083
831,3422191
832,3422266
832,3424624
830,3425409
830,3426203
830,3426908
831,3426924
832,3427186
833,3427274
834,3427313
834,3427430
834,3428150
835,3428364
836,3428449
837,3428629
837,3428781
838,3428842
839,3428991
840,3429214
841,3429569
842,3430054
841,3430613
842,3430934
841,3431608
838,3432557
839,3432836
840,3432850
841,3433240
841,3434527
842,3434606
842,3435253
843,3435738
844,3435808
845,3435966
845,3436285
844,3438143
845,3438422
845,3438539
845,3438737
846,3439083
846,3439155
846,3439244
847,3439541
848,3439827
847,3440760
848,3441505
849,3442183
849,3442420
850,3442450
851,3442774
852,3442932
852,3443660
853,3444585
853,3445081
854,3445940
855,3446272
856,3446495
856,3446650
857,3446924
858,3447319
858,3448680
858,3448799
859,3448973
860,3449154
861,3449430
861,3449810
862,3450095
863,3450144
863,3450301
864,3450357
865,3450366
866,3450504
867,3450773
867,3451145
867,3451791
868,3452088
869,3452178
869,3452266
869,3452413
869,3452950
868,3453093
869,3453195
870,3453301
871,3453807
871,3454609
871,3454957
870,3455312
871,3455772
872,3455871
873,3456048
874,3456288
875,3457277
875,3457406
876,3457570
877,3457830
877,3457987
878,3458656
879,3458908
880,3459397
880,3459613
881,3460075
881,3460454
882,3461008
882,3461648
883,3461889
884,3462343
885,3463328
886,3463333
887,3463647
888,3463929
888,3464245
889,3464763
890,3465001
891,3465459
892,3465802
892,3465875
893,3466059
894,3466165
893,3466402
894,3466705
895,3468252
896,3468433
895,3468913
896,3469124
897,3469137
898,3469364
899,3469719
897,3470758
898,3470902
899,3471062
899,3471103
899,3471750
899,3472657
900,3472745
901,3473437
902,3473690
902,3473911
903,3473942
904,3474312
904,3474371
904,3474799
905,3475068
906,3475331
906,3475408
905,3476081
906,3476105
907,3476175
908,3476254
908,3476701
908,3477433
908,3477618
909,3477706
909,3478251
910,3478444
911,3478807
912,3478847
912,3479031
913,3479532
914,3479907
915,3480054
914,3481883
915,3481980
916,3482148
916,3483343
917,3483603
917,3483665
917,3484459
917,3484939
917,3485015
917,3485179
917,3485455
918,3485807
919,3486001
920,3486144
921,3486360
922,3486447
923,3486473
923,3486972
924,3487064
925,3487104
926,3487710
927,3488245
928,3488252
929,3488374
929,3488874
930,3489008
931,3489156
929,3490270
929,3490423
930,3490444
930,3490870
931,3491317
932,3492315
932,3492869
932,3492918
933,3493145
934,3493721
934,3494458
935,3494502
936,3494722
937,3494810
938,3495277
939,3495387
940,3495672
941,3495810
941,3495932
940,3496542
941,3496832
942,3496903
943,3496911
944,3497198
943,3497926
944,3498010
945,3498878
946,3498957
947,3499358
948,3499443
949,3500007
949,3500160
950,3500163
951,3500539
952,3500760
952,3500796
951,3501919
952,3502045
952,3502076
953,3502521
954,3502880
954,3503556
953,3504933
951,3505973
951,3506090
952,3506240
953,3506368
954,3506552
955,3506577
956,3506646
957,3506788
957,3506796
958,3506817
959,3507189
960,3507372
961,3507508
961,3507692
962,3507766
963,3508608
964,3508674
965,3509045
965,3509309
966,3509395
967,3509403
968,3509405
969,3509921
970,3509929
971,3510273
970,3511332
970,3512404
971,3512426
972,3512514
972,3513003
973,3513216
974,3513284
974,3513491
974,3513625
974,3514605
974,3515084
975,3515105
976,3515169
976,3515413
977,3515528
977,3515631
978,3516064
979,3516114
980,3516478
981,3516670
981,3517797
982,3518422
982,3518596
983,3518800
984,3519173
985,3519429
986,3519431
987,3519940
988,3520014
988,3520281
989,3520767
990,3520873
991,3521519
992,3521620
993,3521967
994,3522609
995,3522879
995,3523167
996,3523279
997,3523959
998,3524155
999,3524674
1000,3524738
1001,3524942
1002,3525563
1003,3525895
1003,3526094
1004,3526104
1005,3526191
1004,3526779
1005,3527498
1006,3527771
1007,3527978
1007,3528438
1008,3528649
1009,3528979
1010,3529175
1011,3529319
1012,3529337
1012,3529502
1012,3529526
1013,3529695
1013,3530495
1014,3530531
1014,3530858
1014,3530865
1014,3530899
1014,3530901
1015,3531085
1015,3531411
1015,3531573
1015,3531658
1016,3531819
1016,3531936
1017,3531984
1018,3532028
1019,3532744
1020,3533068
1021,3533637
1022,3533988
1023,3534528
1024,3534801
1025,3534884
1026,3534985
1027,3535514
1028,3535728
1029,3535944
1030,3536468
1031,3536501
1032,3536642
1033,3536679
1033,3536873
1033,3537079
1034,3537191
1035,3537210
1036,3537320
1037,3537376
1038,3537492
1039,3537532
1040,3537739
1040,3537830
1041,3538060
1041,3538905
1041,3539067
1042,3539319
1043,3539336
1044,3539392
1044,3539699
1045,3539867
1046,3539895
1047,3540241
1048,3540259
1049,3540313
1050,3541368
1049,3541751
1050,3541976
1051,3542560
1052,3542858
1053,3542971
1053,3543629
1054,3543690
1055,3543882
1055,3544214
1056,3544591
1057,3544595
1058,3545307
1058,3545359
1058,3545973
1059,3546369
1060,3546458
1061,3546587
1061,3546763
1062,3546813
1063,3546949
1063,3547801
1064,3547868
1065,3548039
1066,3548142
1067,3548570
1067,3548632
1068,3548662
1067,3550176
1068,3550197
1069,3550304
1069,3550818
1070,3550847
1071,3550926
1072,3552532
1073,3552702
1073,3553032
1074,3553355
1074,3553560
1075,3553828
1076,3554208
1076,3554531
1077,3554802
1076,3555090
1077,3555212
1078,3555273
1079,3555564
1080,3555823
1081,3556299
1081,3556575
1082,3556934
1083,3557307
1083,3558273
1084,3558544
1085,3558612
1085,3558624
1085,3558690
1086,3558805
1087,3559074
1088,3559435
1089,3559590
1090,3559971
1091,3559978
1091,3560074
1092,3560391
1092,3560668
1092,3561003
1093,3561885
1093,3562048
1094,3562242
1095,3562251
1096,3562287
1097,3562379
1098,3562868
1099,3563329
1100,3563586
1100,3564072
1101,3564339
1102,3564641
1103,3565298
1104,3565671
1105,3566211
1106,3566310
1106,3567065
1106,3567604
1107,3567817
1108,3567829
1108,3568780
1108,3569405
1109,3569635
1109,3570345
1110,3571235
1110,3571497
1111,3571555
1112,3571597
1111,3572230
1111,3572392
1112,3572707
1113,3572730
1114,3572775
1115,3572852
1115,3572925
1116,3573027
1116,3573150
1117,3573391
1118,3573624
1117,3574231
1116,3574599
1117,3575333
1117,3575744
1116,3576450
1115,3576592
1116,3576641
1117,3576772
1118,3577166
1119,3577317
1120,3577477
1120,3577963
1121,3578037
1122,3578044
1123,3578080
1124,3578238
1124,3579143
